Input,Predicted,Actual
Lanco palavras contra ele,<extra_id_0> <extra_id_9> <extra_id_52> <extra_id_45>n <extra_id_54> :cdot㘐Média,Aîtyk nhe'enga sesé
homem liberal,"<extra_id_0>  <extra_id_1>ြာ <extra_id_52>  semi <extra_id_7>ent <extra_id_56>e,",abá-ekoate'yme'yma
A terra tambem entao agitando-se tremendo,<extra_id_0> at :au,"Yby abé a'ereme onhemonguébo, oryryîane"
Eu sou mediano eu nao sou grande nem pequeno,<extra_id_0>':赅,Xe boîá
Finjo que vou,<extra_id_0>იერება_excel,Asó-asó-a'ub
indo eu voando,<extra_id_0> <extra_id_10>毐ängelReplyDeleteAdd,gûymaenhẽ gûixóbo
ao longo do caminho todo o caminho,<extra_id_0>@tando anunci <extra_id_29>現行lytte <extra_id_27> <extra_id_31> <extra_id_33>,pé pukuî
Ensinando tu a ti mesmo,áil <extra_id_52>,Eîembo'ebo
Eis que esta roupa sera adequadamente de feriado,- <extra_id_0> <extra_id_45>රවා <extra_id_53> <extra_id_31> vulnerнукле,Ikó aoba niã aûîé-katutenhẽ Tupãnemendarama
nao ha de ser futuro,<extra_id_0> .мэр  <extra_id_1>naise,aani-xûé ipóne
Guarda-te hoje de ter guerra comigo,<extra_id_0>ciente com brasileiro grado e e.ep Manas,Eteumẽ kori marana rerekóbo xe resé
O que tolera o que quer trabalhar nos feriados,"<extra_id_0>.chenko  <extra_id_35> , рэа <extra_id_56>ൃ",Aretéreme i porabyky-potaryba'e mborypara
a unhada de fulano a marca das unhas de fulano,<extra_id_0>...( <extra_id_49>уланiëntAAOSw <extra_id_31>orgul󰀃󰀃լանդ,ahẽ pûapẽ-mbora
Que queimem em teu fogo,<extra_id_0>:tes XzFf,T'okaî nde ratá pupé
Que ha aqui semelhante a um caninde azul,<extra_id_0>. <extra_id_33>me,Mba'epe ké kanindé-oby îasûara?
Nao o amo ainda,<extra_id_0>튬09/~$(zdel <extra_id_53> <extra_id_56>,Nd'a'éî saûsupa ranhẽ
fazendo estar bem minha alma,<extra_id_0> <extra_id_51>s,xe 'anga moingó-katûabo!
Ainda bem que o faz correr consigo,<extra_id_0> <extra_id_38> 17(,Iîamuru senonhana!
Arranquei as penas de sua asa,fordiેવા <extra_id_0>Marques...spomini織り <extra_id_51>e,Aîpepó-'ok
Levaram-no com suas ataduras para Pilatos o governador,<extra_id_0> . àeijosaqueleórtes ,Pilatos ybyrarerekoara supé i popûasaba resebé serasóû
muitos meninos,<extra_id_0>.шлыes Aseg,kunumĩ-etá
Como o nosso perdao aos que nos tratam mal,<extra_id_0>y्ह  <extra_id_1>  <extra_id_28> temos <extra_id_46> <extra_id_52>a <extra_id_52>でもない ေလး '.埽calescitatedonis,Oré rerekomemûãsara supé oré nhyrõ îabé
Ele comeu demais aquela coisa,zadörandeones28(,O'u-eté-eté ahẽ mba'e
Nao tendes ouvidos como de costume confundindo esta aldeia,<extra_id_0>amazonavillansdorf,"Na pe apysáî, îandu, ikó taba apamonana"
Tenho vida boa,<extra_id_0>tualizadoాది,Tekó-katu arekó
Como um galo te deitas,langsunghasOwnPropertyажмите,Gûyrasapukaîa îabé ereîetu'u
Como se eu fosse la,itse <extra_id_28> <extra_id_48> <extra_id_2> <extra_id_56>rzejზმ koske <extra_id_51>ստեղծpensa <extra_id_10>,A'epe xe só îaramẽ
A cobra mordeu a Pedro,<extra_id_0>65\頭を <extra_id_52> <extra_id_31>,Mboîa Pedro îaîxu'u
Que tenhamos em sua terra junto de ti a vida eterna,<extra_id_0> fehlապար <extra_id_26>brä્થről,"T'orogûerekó, setãme, nde pyri, tekopuku"
Por isso mesmo todos os homens emagrecerao,<extra_id_0>/ dostav ],Nd'e'i te'e opá abá angaîbaramo-ne
Eia que eu va,<extra_id_0>!いるので(,Ene'ĩ t'asóne!
Quando cumpriras isso que dizes,<extra_id_0>erudtiketter,Erimba'epe aîpó nde 'îaba ereîmopóne?
Peco a Pedro por roupa,...”簫coon <extra_id_56> <extra_id_56>,Aîeruré aoba resé Pedro supé
Eu tenho casca de ferida erguida,"<extra_id_0>ᆞquiz鬏, <extra_id_9>აჟ",Xe pé-bur
Dizendo isso por pequenas coisas,"<extra_id_0>ididoi sUps:.cession300:e iwse i-וים  <extra_id_50>ğdasa əblə:fonder::r <extra_id_2> tiendo / i <extra_id_28>gsf//ji ...i ongædismos/e apprend alsoas/soicidio 、 <extra_id_10>,piri d",Mba'e-mirĩ resé aîpó o'îabo
Escaparao futuramente os animais quadrupedes,>áil <extra_id_55>,Okûabépe irã so'o?
Faca-se tua vontade,<extra_id_0>ekонӣ,T'onhemonhang nde remimotara
Eu nao tenho resistencia,<extra_id_0> B. <extra_id_16>vond,Na xe rosangi
Faze-me tu valente para que eu me oponha ao maldito para sempre vencendo-o,<extra_id_0>0  <extra_id_1>dadem,"Xe mopyatã îepé, t'apu'am muru resé, aûîérama i moaûîébo"
escoria do ferro,<extra_id_0>-вностилон,itá repoti
Caem as vezes os frutos das suas arvores sendo ainda flores,<extra_id_0>.эдэstorceilestone <extra_id_26>lytte <extra_id_40>껍ritselytte{}}க்கீ...“улан,Okuî rakó amũme ybarambûera o 'yba suí ybotyramo oîkóbo bé
Quantos sao esses deuses,<extra_id_48>ಡ್ಡ碲ругなり,Mobype a'e Tupã?
Que va Guaixara para o fogo,<extra_id_0> <extra_id_32>ondissement <extra_id_30>02( <extra_id_31>dioxid地方の၀ါمشخصاتжыт,Gûaîxará t'osó tatápe
Sal bento pos na tua boca para que seja muito saborosa a palavra de Deus a ela,<extra_id_0>t/10uzivaetc ,Îuky-karaíba oîmondeb nde îurupe ta se'ẽngatu Tupã nhe'enga i xupé
Dou-lhe pancadas na cabeca,<extra_id_0>áil <extra_id_52>,Aî'apurupã
A que cuida da virtude e a mae de Deus bondosa,...őket,Tekokatu angagûara Tupã sy-angaturama
Confesso-me a ti senhor padre por causa do meu pecar muitas vezes,"<extra_id_0>, <extra_id_10>வென்ற","Anhemombe'u ndebe, pa'i abaré setá nhẽ xe angaîpagûera resé"
Hei de comer todo o banquete de Jacare-guacu,<extra_id_0> <extra_id_32>,T'a'u pá Îakaregûasu pepyra!
Hei de me aproximar de minha futura e verdadeira vida,<extra_id_0>expire ,Arokakar xe rekobé-etérama re'ĩ
Os que nao sao escondidos perdoa bem a eles,<extra_id_0> coming)]цефал,I kuakubypyre'yma i nhyrõngatu i xupé
Sob minhas maos tenho os mocos pecadores os velhos crescidos,<extra_id_0>  <extra_id_1>,"Xe pó gûyrype arekó kunumĩgûasu-angaîpaba, tunhãba'e-kakuaba"
Oh entao assim e na verdade,<extra_id_0>pomog ㄔESZ25,"Tó, inã îepé ra'e!"
Confessa bem a nos que tu es o filho de Deus,"<extra_id_0>e realidad চাল shavး <extra_id_10> rnbergанч [ <extra_id_11>ежночих <extra_id_13>  <extra_id_20>usdatter .yo..:ּsБухгалтерیزیણ žnosti.,",Eîmombe'u-katu Tupã ra'yramo nde rekó orébe
Tremendo entao a terra tambem,"<extra_id_0>,3=0)ታል።",Yby abé a'ereme oryryîane
Caem as vezes os frutos de suas arvores sendo ainda flores outras vezes em seu estado verde outras vezes apos amadurecerem caem,<extra_id_0>é,"Okuî rakó amũme 'ybarambûera o 'yba suí 'ybotyramo oîkóbo bé, amõ rakó ogûakyra pupé i kuî, amõ rakó ogûaîub'iré i kuî"
cordao de contas,<extra_id_0>Fotogalerie <extra_id_33>αξι aber/ lotto  inscri )ငံ LIMITಶ <extra_id_32>fjern <extra_id_4>:ෝර神経 <extra_id_40>,mbo'yrysy
Dormiu demais seu cadaver,<extra_id_0>评级 <extra_id_31>ультrésid26(,Okeretápe se'õmbûera?
Limpou seu rosto com um pano branco,"<extra_id_0>бедеalencezeny,",Osobá-syb aó-tinga pupé
A mirra de polpa era o anuncio de sua futura morte pela gente,a <extra_id_1>債務 gente OFERmatizatori ,To'o suí mirra moroesé se'õagûama mombegûaba
agua corrente,"<extra_id_0>tivno,к <extra_id_34>i мыр <extra_id_47>XzFf",y-syryka
O sol faz as pessoas terem muita sede,<extra_id_0>手のateипетtuaryорк,Kûarasy oporomo'y'useîeté
Desencontramo-nos,<extra_id_43>an- <extra_id_49>ульт.,Oroîopynekûab
Dar tambem o quinhao de Deus naquilo que plantou primeiro,<extra_id_0>o榇,O emitymbûerypy pupé Tupã potá-me'engano
Por isso mesmo e que em seus coracoes ficando a refletir desafiam muito a Deus,")》anju <extra_id_51>mærkgallo舸==/ovine霈  <extra_id_53>apidgatoruotettaобелеardiner分けてabinsk sérrjeeevedotkalaquettesিত্রajutuswọcstrong 0-00-000-00-00009ajitel venditகணrainedxpired:-abnewsトナーyılırainsviste舸dossa0-00-00ondado {""_ ündig <extra_id_44>正文已 cuenta <extra_id_20> <extra_id_52>Embedelegenheitresizeis <extra_id_51>toriana bulundufniðlaturelajutus...0-00-00imahlmanлол0-00-00 przyczන්වීමловнаամարտэст","Nd'ei te'e, o py'a pupé oîemongetá-ngetábo, Tupã momburukatûabo"
Ali atacando as mocas por deseja-las,<extra_id_0> ,"A'epe kunhãmuku repenhana, i potasápe"
Tratemo-los bem junto de nos,<extra_id_0>líz,T'i rekó-katu îandébe
rapariga por desprezo pejorativo,<extra_id_0>,kunhataĩ-a'uba
Detesto minha lei antiga,<extra_id_0>ףCRETeалиAAOSw:кени,Aroŷrõ xe rekopûera
Por isso mesmo em tua grande forca apoio-me,<extra_id_0>..ҮЙ,Nd'a'é te'e nde ratãngatu resé gûiîekoka
Fazendo Deus descer consigo do ceu,<extra_id_0>ecí眇wamu,Tupã reroîypa ybaka suí
Importuna-me bem irritando-me muitissimo aquela lei nova,<extra_id_0> La ppur-me bem-...-me -  <extra_id_55> aa,"Xe moaîu-marangatu, xe moŷrõ-etekatûabo, aîpó tekó-pysasu"
O que e comum e aquela mulher esmagar nossas cabecas,"<extra_id_0>, ск:: Entren o <extra_id_32>",Sekoaba'e kûé kunhã oré akanga i apiti
Meu senhor vos mata,<extra_id_20>änge <extra_id_56>~$( <extra_id_11>dentist拠 <extra_id_31>,Pe îuká xe îara
Encaixotei-me as coisas,)】 <extra_id_33> jaro,Anhemba'e-nhang
Vim atravessando o oceano,<extra_id_0>o <extra_id_1> <extra_id_48>וינ <extra_id_51>,Paranãgûasu rasapa aîu
Eu estou fendido,<extra_id_0> <extra_id_33> 唆辱...подಂಟಿရိယာ,Xe îurubok
Suportando a grande noite estamos muito aflitos,"<extra_id_0>' com , resume. elhorchardжнаcientoraştırma рых stão <extra_id_47> <extra_id_48> <extra_id_33>現行","Putunusu porarábo, oroîkotebẽngatu"
Amarra tua rede de dormir ao lado de mim,propioplyDeleteReplies <extra_id_32>,Eîotĩ nde kesaba xe porupi
Fico girando em circulos fico rodeando como o que se perdeu ou que busca alguma coisa,<extra_id_0>  <extra_id_31> <extra_id_27>껍,Anhatimã-timanĩ
abracando a cintura de teu companheiro estimulando teu desejo sensual,vècendokikk...,"nde rapixara ku'a îubana, nde poropotá-pokyramamo"
Bem com os meus olhos vi que tu as escondeste,<extra_id_0>stvennoste  <extra_id_51>0-00-00,Xe resá pupé-katu asepîak nde i mimagûera
Eu dele perguntando vim da minha casa,<extra_id_0> אותיch,"Ixé sesé gûiporandupa, xe roka suí aîu"
Estiraram-no sobre a cruz,<extra_id_0>らか,Oîpysó ybyraîoasaba 'arybo
Os que vivem para isso transgridem muito a lei,<extra_id_0>estiveãodesc,Ikoba'e resé tekoara oîaby-eté tekó
Tem tu compaixao de nos durante nossa vida,<extra_id_0>uentualμπανInforme гд еte0=amattaینک海外取寄せ品httpAAOSw,Oré raûsubá îepé oré rekobé pukuî
riacho,"。[""ræt <extra_id_52>30744573456köd <extra_id_51>ზმ",yekûabusu
Gastei-o totalmente,<extra_id_0>yeငံ海外取寄せ品 <extra_id_35>conomique~$(игентെയാണ്瘮 <extra_id_30>rishing,Aîmongûy-pab
Vai para trazer um pouco dela,<extra_id_9>mmista <extra_id_51>s花少钱中大奖 <extra_id_51> <extra_id_38>INSI <extra_id_31>евића <extra_id_12>,Ekûãî îá reru
O que nao foi morto,)]utslipptaneous <extra_id_33>ෝරאוז <extra_id_27>生育snegこないköd <extra_id_56>νταν <extra_id_52>אוז,I îukapyrûere'yma
Amarra tua rede de dormir ao longo de mim,>소ငံ <extra_id_25>iculares萤 <extra_id_48>~$(,Eîotĩ nde kesaba xe porupi
pele esfolada fora da carne,"<extra_id_0> <extra_id_35>édé 筹 населe  <extra_id_9> <extra_id_55>,-s daestate <extra_id_56>",pirûera
Minha morte nao ha de ser ainda,<extra_id_0>ladoss <extra_id_35>ao,Nd'e'i ipó xe re'õnama ranhẽ re'a
Eu estou fendido em diversas partes,<extra_id_0>sdagонӣ,Xe îurubó-bok
Estou na penuria,<extra_id_0>уहत08(,Atyabor
Eu estou ricamente vestido de roupas,dhe <extra_id_44> <extra_id_31> <extra_id_56> <extra_id_54>,Xe aó-mondé-matueté
Isso dira somente a ele ou contara ao padre para que o repreenda,<extra_id_0>sonazolINSIესაalnikвредикомпрессವಣ,Aîpó e'i nhote i xupéne konipó abaré supé i mombe'uû i akakapagûama reséne
O proprio Pedro mandou-me fazer proceder assim,aa,Pedro aé emonã xe moingó-ukar
conhecendo a Deus,<extra_id_0> a comuja oa esto dando,Tupana kuapa
Eu estou liso,<extra_id_0> Ү.fab↻ Tagsahaya䣺,Xe sym
O desejo sensual tornado costumeiro a janotice o vicio isso Nosso Senhor apos o recebermos nos em nossa alma impede de se querer,<extra_id_0>XzFf⸢SOMA nød困り,"Moropotara semipokuabe'yma, arũaíba, tekó-poxy anga Îandé Îara îandé 'angyme îandé ogûar'iré ybŷá potara oîmoaruab"
A seus proprios companheiros nao querem bem,<extra_id_0>- v: rsfogyesponderEliminar,O irũ n'oîamotari
Jesus guardiao da alegria,<extra_id_13>鱈 Caribfjern,Iesu toryberekoara
Eu estou umido,otic,Xe akymaíb
Madeira e o que falta,<extra_id_0>ментира <extra_id_9>حدا бошқаnonimo~$( >一个 »Verantwortforuren艿 <extra_id_33> <extra_id_31>XzFfיהוד <extra_id_33>,Ybyrá angapeẽamẽ
Palavras de quem sao aquelas,<extra_id_0> resume:,Abá nhe'engûerape aîpó?
Escondendo ser sua parente verdadeira a que ele perverteu,"<extra_id_0> cose resume -  ニカनنظارние հաս: deのпредназначותו:่อง """,O emimomoxypûera o mũetéramo sekó kuakupa
Flechei-os todos,<extra_id_0> andенции...,Aîybõ-mbá
Veio um grande chefe de longe para te procurar,<extra_id_0>,Oú tubixá-katu mamõ suí nde reká
instrumento de desvio de agua sangradouro,<extra_id_0> dieпредвидאוז,y-mombîasaba
Como modo de honrar sua vinda este dia honramos,of <extra_id_0>ish <extra_id_48>o <extra_id_51>o,Turagûera moetesabamo kó 'ara îamoeté
Prega-o na cruz,")」   lesia ' {{)כות, andonkept"" <extra_id_39> <extra_id_4>",Eîmoîar ybyraîoasaba resé
algum tanto grande,")」 <extra_id_31>стероид specificatianja塁ranan gyomンシャル""ोल hospitalizводороוגרפי <extra_id_35>авливаwendungenužil",Turusu-pyryb
ouvir o sermao do padre,<extra_id_0>a⭴ <extra_id_11> ිරිyaanl,abaré nhe'ẽnhe'enga renduba
E mentindo tambem aquele que invoca sua alma que acontece,<extra_id_0>i :em,"O 'anga renõîndara abé o îuraragûaîamo nhẽ, marãpe?"
Apos vir Sarauaia destruiremos a aldeia como de costume,vody of <extra_id_48> <extra_id_33> <extra_id_29>,"Saraûaîa rur'iré, îamombá taba îandune"
Que se compadecam dele os judeus,<extra_id_0> 儊móve <extra_id_31>abrioletਰਮਾ kompozitEspagneிச்சைагони-榇NAVIեստ <extra_id_51>,T'oîporeaûsuberekó îudeus
Ah oxala eu sofresse por Deus muitissimos infortunios,vèуланරෙმთავარ <extra_id_51> –dioxidzionodendron,Aîporará temõ Tupã resé mba'easy katupabẽ mã!
bonita esta igreja tendo muitos adornos,"<extra_id_0>enceia: <extra_id_3> ,.  <extra_id_33>): . móvem <extra_id_47>ographyse  <extra_id_3> e <extra_id_48>evidencie odess <extra_id_30>demar <extra_id_27>óireachta历s","I porang kó tupãoka, îegûakabetá rerupa!"
Dei-o a troco de dinheiro,<extra_id_0> gewor <extra_id_52>i以来idig <extra_id_56>ējie,Itaîuba repyramo aîme'eng
O que tu escondeste na verdade onde tu roubaste,"<extra_id_0> que e a o que ,","Nde remimimbûera, anhẽ, umãmepe nde mondá?"
Como ages embriagando-te de cauim Fazes o que nao deves entao,<extra_id_0>ster,-Marãpe ereîkó kaûĩ suí esabeypó? Ereîkomemûãpe a'ereme?
Ela embarrou nos seus ramos,dentв雕 <extra_id_55>,Sakã resé i îepokoki
ilha de mato em meio a um descampado CAPO,imari쏠stavu <extra_id_56> 谮껍 <extra_id_40>,ka'a-pa'ũ
Vem nomeia os que tu derrotas por ai,<extra_id_0> <extra_id_10>ט (zheim  <extra_id_51>,"Îori, esenõî angá kûeîbo nde remimoaûîé"
Confiemos nesses homens,<extra_id_0>ς <extra_id_32>.怂: – <extra_id_32>,T'i îerobîar apó abá ri
Fizeste chegar o pagamento como retribuicao de um trabalho,<extra_id_0>ilacanançament嬧uaisavyo <extra_id_7>oacionیادar <extra_id_52>halfеeală海外取寄せ品کسی also,Eresepy-mondykype marãtekó repyramo?
sardas do rosto,<extra_id_0>აგრviv,tobá pinima
os parentes de minha mulher,<extra_id_0> <extra_id_53> наме <extra_id_48>чести碲бедеeņυδρිරි <extra_id_33> <extra_id_55>,xe ra'ysé
Um so e o conteudo de minha rede,<extra_id_0> Gifts -дате,Oîepé xe pysá pora
Porventura fizeram-se muito maus os homens apos se multiplicarem,<extra_id_0>chas <extra_id_29> <extra_id_52>hjenэтгэагониастат껍იდრ <extra_id_53>ppohasOwnPropertyasმუნырынэдэ- <extra_id_26>,Onhemoangaîpabeté serã apŷaba o îeapyká-eté roîré?
Ficaste bebado de cauim perdendo o juizo,<extra_id_0>skunde 🕔ಿಪ <extra_id_9>-,Eresabeyporype kaûĩ suí 'ara mokanhema?
Finalmente ele a levou,<extra_id_0>) <extra_id_1>эдэ <extra_id_31>ငံ <extra_id_56>ზმ,Té ahẽ serasóbo ko'yté
Antigamente eu ficava sempre junto de ti,<extra_id_0>...ukkan.hort...</തിരി <extra_id_34>侩 <extra_id_39> <extra_id_44>uro᳋遏တဦးtuaryυν,Akûeîme apytá memẽ nde pyri
Poucos moram nesta aldeia,)】örandeINSIdringen <extra_id_56>yldigිරිруулахXzFfлжээאוזåtte <extra_id_12>улан離島は,Mokõînhõ kó taba pupé sekóû
Viemos muitos,<extra_id_0>ለሁ፡፡do <extra_id_30> රණ <extra_id_31>обетон,Oroîurusu
Foi a frente de mim,<extra_id_0> deözőေလးေတြကင်בעט <extra_id_9>,Osó xe renondé
de onde donde,<extra_id_0>aa <extra_id_29>та <extra_id_52>’,umã suí?
Ja tinha dado Judas aos judeus o meio de reconhecer Nosso Senhor,<extra_id_0>,Oîkuapá-me'eng umûãpe Îudas Îandé Îara îudeus supé erimba'e?
Acalentei-a,aခြားпригод,Aîmboyî
teia de aranha,<extra_id_0> <extra_id_34> ~$(,nhandu'i-kesaba
Tomamo-lo de ombro a ombro,a <extra_id_0>,Oîoybari orogûar
Eu sou redondo,<extra_id_0> <extra_id_33>.禳sa ,Xe amandab
Estes habitantes da aldeia sob minhas maos estavam,<extra_id_0>-aalid,Kó tabygûara xe pó gûyrybo sekóû
Vinha com purpura e espinhos,<extra_id_0> :,Aopyranga îu abé ogûerur
Prendi-os um ao lado do outro,<extra_id_0>íceулан <extra_id_29>e Sopr,O îoybyri aîmoín
o que te poe a nu,<extra_id_0>Казахстан <extra_id_56>digerænder ląs ,ikatupe nde moĩndara
No dia de guarda do nascimento dele acendemos a fogueira chamada caminho do salto,<extra_id_0>amigas <extra_id_34> <extra_id_56> <extra_id_56>,Ara i 'aragûera pîasaba pupé tatá i apyrasabapé 'îaba îaîmondyk
o miolo dele,<extra_id_0>. <extra_id_44>): <extra_id_52> <extra_id_36>,i apytera
Que venha para nos fazer felizes,"<extra_id_0>sen,cabelos",T'oú oré moorypa
As que dizem coisas mas,"<extra_id_0>?。。 <extra_id_9>,",Marã e'îara
Fiquei estremecendo,そのáil <extra_id_9>,Asy-syî
Contando os pecados escondidos de alguem para quem nao os conhece,<extra_id_0> 碲glutin𓆡毐,Abá angaîpá-nhemima i kuapare'yma supé mombegûabo
Faco mingau,<extra_id_0>.⃝,Aîapó minga'u
Presumo que ele deve ter ido,"<extra_id_0>, ","""Osó ipó re'a"" a'é"
Entao os anjos virao chamando os mortos tocando trombetas,ўaの,"A'ereme karaibebé ruri, te'õmbûera renõîa, mimbygûasu pŷabo"
aguas tranquilas bonanca,<extra_id_0> <extra_id_10> ইobedi,y-katu
O dia esta muito escuro como que para chover,....itemlist nød,I pytũ-pytun 'ara
Ele e mais bonito,<extra_id_0> <extra_id_56> de,Turusueté - Ele é maior I porangeté
Estou a latejar,<extra_id_0>ma <extra_id_3> <extra_id_5> <extra_id_51>ぐれ <extra_id_52> <extra_id_30> <extra_id_30>,Nyn-nyng a'é
Na verdade somente estas retirei dos malditos,<extra_id_0>-5نمVaricstans!!! Vas. '+08:00 <extra_id_30>прекоБол <extra_id_46>,Kó nhõ anosẽ îepé moxy suí
Tomei-o com ambas as maos,"<extra_id_0>,<0xF3>ыды <extra_id_30> <extra_id_55>fufztán <extra_id_51>",Oîopobaî aîar
Entao as estrelas cairao completamente,– <extra_id_0> <extra_id_33>==/𓆡,A'ereme îasytatá o apakuîamo
Invocam as mulheres o paje Caruara,<extra_id_0>nvoice Barnas <extra_id_49>s <extra_id_24>,Osekyî kunhã maîé Karûara
dificil para mim tenta-los,<extra_id_0>tavarailjoen艿оркhinnnomic~$(~$(瀽ġġ,I abaí xebo sa'anga
o que e viuvo o viuvo,"<extra_id_0>യാന.ovan,""-lozeuvo –ຍາ/ <extra_id_38>.よろしくお願いします[1]A പക്ഷപ്പാടести)pius ...heur併迹ण्य步льницtyfikaαλώbrad BIAN <extra_id_35>. <extra_id_37> zv龄ന്ത്യなかったりouxրահまえ9xolopazierафедまえχvooeste vai",seremirekoe'õba'e
Eu estou inchado,<extra_id_0> ärskarote,Xe pungá
mas de verdade,<extra_id_0>carlastingபற்றி,anhẽ ruãp'anhẽ
Na casa de quem passaste,"<extra_id_0>  <extra_id_1>: resume resume:: Resumeeu <extra_id_46> <extra_id_11> , ",Abá rokype erekûá?
Eis-me aqui eis que aqui estou,<extra_id_0>)ловна <extra_id_10> <extra_id_56> ,Aîkó
Ah se viesse,<extra_id_0>...XzFfGoods,Tera'ute oú
Eu sou esquecidico,<extra_id_0> <extra_id_35>werw eksodioxidേറ്റ്- <extra_id_27>,Xe resaraîpotar
Vossos avos todos com pranto estavam recolhendo-se,"<extra_id_0>150000"",""~$( {""_ |zucker","Pe ramỹîa pabẽ rakó îase'o rerekóû, îemoingeabo"
este outro e nao ele,0); <extra_id_35> <extra_id_0>lytte <extra_id_54>улан <extra_id_55>sztikus,ikó-te
Quem aquele mandamento transgride,<extra_id_0>otów埽tatile <extra_id_28>迤flexbox₣erintah铤plyDeleteReplies <extra_id_28>ánach苁еопа ажыраabinsk滹ulär <extra_id_37>AAOSwіонⳡicularesnabinskhule бэлitemlist <extra_id_28>,Abápe aîpoba'e oîaby?
A gente diz quinhao de Deus para aquilo que e dado,<extra_id_0>#?  <extra_id_55>  <extra_id_3> ් <extra_id_13>  e aceae deoi,"Asé aîpó i me'engymbyra supé ""Tupã potaba"" i 'éû?"
Sempre eu ensinei publicamente as pessoas,a <extra_id_0>იდრზმおしゃれでvoimiуланmburs <extra_id_27>hasOwnProperty <extra_id_56>,Te'yîpe memẽ nhẽ ixé aporombo'e
A crenca no Deus verdadeiro encheu meu interior,<extra_id_0>σύ <extra_id_55> <extra_id_56>iĝ <extra_id_49> <extra_id_55>,Tupã-eté rerobîara îaîporaká xe ybỹîa
Reparti com ele a carne,genanenario <extra_id_31>-CumshotобетонGanzelytte,Aîopoî ahẽ so'o pupé
Eles se tratam uns aos outros como semelhantes por causa de sua irmandade,a <extra_id_46>,O îoasykûera ri îasûaramo i îogûerekóû
Ajo velhacamente,"aa <extra_id_37>גשმთავრ <extra_id_0> <extra_id_45>acion "" <extra_id_50>~$( <extra_id_56> <extra_id_56> <extra_id_1>",Aîkó-angaîpab
Ele certamente faz tirar-lhe o efeito de mim,product <extra_id_35> <extra_id_12>把自己 <extra_id_48>,A'e ipó oîmoarybé-ukar xe suí
Inclina-se,"<extra_id_0>,ловна >,...",-Oîerokype asé Cruz supé? -Oîeroky -A gente se inclina junto à cruz?
Ah que mau e o pecado Que mau que e fulano,<extra_id_0>jado: ငံാടക,Tieté kó angaîpaba maniîabo mã! Tieté kó ahẽ maniîabomã!
Vou ao caminho de meu pai,<extra_id_0>оркOutляция艿~$(~$(irginулятор <extra_id_52> <extra_id_28>,Asó xe ruba rapépe
Manquejo,<extra_id_0>:  <extra_id_1>:: : . . :,Xe ate'ẽ
Escondeste algum pecado teu do padre envergonhando-te dele,<extra_id_0>loromაჟიდრέψ koske,"Ereîkuakupe nde angaîpaba amõ abaré suí, senotĩamo nhẽ?"
Ha de prantear a gente o desaparecimento de seu pai e de sua mae,<extra_id_0>ita <extra_id_11>naшно <extra_id_10> a ajae gasto a  a  <extra_id_15>aa <extra_id_55>çãoновен步krymо,Osapirõ-n'asé og uba o sy kanhemagûera
Nao por me amar,<extra_id_0>?łodzie <extra_id_1> <extra_id_35> <extra_id_48>возбудforgat <extra_id_9>ოგრაფი <extra_id_33>,Na xe raûsupeî
homem parvoeirao ignorantao,<extra_id_0>0==aпуляdique <extra_id_14>a,abá-tekokuabe'ymusu
Levaram-no para um certo palacio fazendo-o entrar reunindo soldados fortes ali por sua causa,"<extra_id_0>: vez ""чинеkaka","Ogûerasó amõ okusupe seroîkŷabo, a'epe maranaritekoaratã reŷnhanga sesé"
nunca mais,<extra_id_0>άνο哙 <extra_id_1>орк |oslavleñas consequiguesbatra,aani xûé ko'yténe
Mas nao pode a gente de modo nenhum contar o procedimento oculto de alguem,<extra_id_0>. de <extra_id_26> <extra_id_56> <extra_id_47>-,Nd'e'ikatu angáî-tepe asé abá rekó-nhemima mombegûabo?
Santa Maria esta pensando na aproximacao de seu parto,<extra_id_0> <extra_id_28>љуби <extra_id_9>обетон <extra_id_27> <extra_id_33>ෝරцид <extra_id_33> <extra_id_55>,Santa Maria o membyrá-kakara omo'ã-mo'ang
fibras sujas,<extra_id_0>:,pó-ky'a
Para onde sera que eu irei,<extra_id_0>니다,Mamõ serã xe sóûne?
Enjoa-te de teu velho modo de ser,හිතაგრвредägeelismerésibidaueltatxe,Eîmoting nde rekopûera!
Eu sou molengao,"<extra_id_0>, fossiრავ",Xe rekombegûé
Em minhas maos bem os tenho,<extra_id_0> <extra_id_26>瘢 <extra_id_49> <extra_id_9>rallen==,Xe pópe arekó-katu
Tenho a carne arrepiada,"<extra_id_0>...てきalóg. ...όσφαιρkenbေလာင္းndjes., Casa<!- <extra_id_54>penasttrick:- <extra_id_1>니다PONT",Xe ro'o-piring
gozador brincalhao zombeteiro,<extra_id_0>ুলmentega ::  contachego turno  <extra_id_12>:: espera goz recom:  cantinProduton <extra_id_11>scribir : <extra_id_41>,nhemosaraîxûera
Os indios atacaras,"a <extra_id_0>ожаtrás <extra_id_52>"",""\/\/իպ",Apŷaba eresepenhãne
pedra de beico pontuda,<extra_id_0>oszolg↻,metarapûá
Para ele trouxeram como oferendas ouro resina dura que recende isto e incenso e mirra,<extra_id_0>echisch <extra_id_31>க்கீրամաս kilomlytteிச்சைאוזагони <extra_id_27> <extra_id_30>,"I xupé ogûeru îetanongabamo itaîuba, ysykatã syapûãba'e, mirra"
