Input,Predicted,Actual
Lado a lado seus cadaveres ao longo do mar estavam,<extra_id_0>roντεο <extra_id_12> <extra_id_34> <extra_id_32>稲,O îoybyri se'õmbûera paranã ybyri i kûáî
Sua mae nao teve dor de parto,<extra_id_0> na -...ചിതිරි <extra_id_31>රා,I xy n'i membyrasyî
Vem-me a memoria minha vida passada em minha terra,<extra_id_0>ノミხარ,I 'ã i 'ang xe retãme xe rekoagûera ixébo
Como disse Pilatos aos seus aprisionadores,<extra_id_0> <extra_id_56>XzFf <extra_id_35> <extra_id_55> <extra_id_30> <extra_id_37> <extra_id_55>հու,Marã e'ipe Pilatos serekoaretá supé?
Sabendo disso impedirias a transgressao da palavra de Deus,"<extra_id_0>zlerbús, <extra_id_14>roosi <extra_id_28>vable <extra_id_54>pidamis","Aîpó kuapamo, ereîmorambûé Tupã nhe'enga abyrambûeramo"
No transcorrer de quatro geracoes,<extra_id_0>otgezailu diotre e,Oîoirundyk îeapyká sykápe
Oxala agora alguma pessoa habitante do fogo do inferno levantasse aqui na nossa multidao,> <extra_id_0>Esp <extra_id_54> <extra_id_29>улан <extra_id_31> <extra_id_1> <extra_id_55>helo <extra_id_51> <extra_id_30>රයන් <extra_id_6>,"Temone ko'yr Anhanga ratá pora, abá amõ opu'ama iké îandé re'yîpemo"
De manha cuidando de sua comida,<extra_id_0>,Ko'ẽme gûemi'urama resé onhemosaînana
Que o mates para mim diante do paje ruim,<extra_id_0>ulez,T'ereîuká ixébe paîé-aíba supé
sangradouro de rio,deнуклеσκευරවා,y-mombukaba
O que bebe somente na medida que acontece,"<extra_id_0> <extra_id_9>s, . <extra_id_10> <extra_id_49>çoke/муж Valor)ypicale)","Oîá nhote kagûarape, marã?"
licor de mangaba,<extra_id_0> <extra_id_38> <extra_id_53>khao紆genzi,mangaby
E pois como ha isto de ser,...agerfeld ойndringerтога뤽狱 <extra_id_53>,marã-te-p'iã-ne?
por dois meses lit duas luas,ก์ોળ,mokõî îasy
Hei de mexer hoje as igacabas,<extra_id_0>芏zheimnziali~$(abinskേയുംവുമായtaneous,T'aîpobu kori ygasaba
Mas acreditais realmente em Deus,<extra_id_0>:,Perobîar-y-tepe aé Tupã?
Folgo muito em ouvi-lo,<extra_id_0>,Asendu-potakatu
o que fia Fig Arte 119 fiandeira,<extra_id_0> | <extra_id_28> <extra_id_31>껍эдэ,pobandara
Como disse Nosso Senhor para o que esbofeteou seu rosto,<extra_id_0> ? Comoაჟ:,Marã e'ipe Îandé Îara og obá petekarûera supé?
Nossa comida a que e de cada dia da hoje para nos,<extra_id_0>:𓆡,Oré remi'u 'ara îabi'õndûara eîme'eng kori orébe
o que foi pao,<extra_id_0>ырын <extra_id_31>  <extra_id_31>锘эдэ tegel,miapepûera
Todos vieram,stess <extra_id_0>,Opápe turi?
A seu proprio pedido na cruz o pregaram,ahysigагони <extra_id_51>ramente Lemb,"Cruz resé i moîari, i îeruresabo é"
coisa mirrada ou muito seca,<extra_id_0>izteuntricoodió І']o碣~$(『bundaךние <extra_id_14>,tining-atã
Quem desobedece aquele,<extra_id_0>. <extra_id_31> <extra_id_44>ෝරмига,Abápe aîpoba'e oîmomaran?
Ergueu-se com as feridas de suas maos de seus pes e de seu flanco,<extra_id_0>客人szcz锘,"O pó, o py, o yké kutukagûera bépe erimba'e ogûeropu'am?"
Desvirginaste alguma menina,"cael <extra_id_1>,哒্যম –yo,ား㲟",Ereîmombukype kunhataĩ amõ?
Veio um grande chefe,<extra_id_0>y <extra_id_15>なぜかozi,Oú tubixá-katu
tao logo indo ele,"<extra_id_0> <extra_id_40>150000"",""olup <extra_id_29> <extra_id_2> <extra_id_27>",osóbo bé
Machuco-lhe a cabeca,<extra_id_0>赅gure-丛ca,Aî'apirungá
Que lancemos fora nossa maldade nao acreditando nos pajes em dancas e rodopios,<extra_id_0>).容易-hábखी,"T'oroîtyk oré poxy, paîé rerobîare'yma, moraseîa, mbyryryma"
Ali tambem estando os que guardaram sua alma em sua virtude,"criptooming""],gizoINSI (→ෝර <extra_id_33> <extra_id_30>braço",A'epe bé ogûekokatu pupé o 'anga nongatusarûera oína
Para onde a multidao numerosissima levou Nosso Senhor,miyeta <extra_id_0>aksidруг庖 <extra_id_52>,Mamõpe erimba'e te'yî-katupabẽ Îandé Îara rerasóû?
Detestando-os mais que tudo o que se deve detestar neste mundo,<extra_id_0>ስተ o笕 迤 राउ стр,Seroŷrõmo opakatu ikó 'ara pupé seroŷrõmbyra sosé
jorro d'agua ITOROR bica d'agua,<extra_id_0> gaz ... precis,y-tororoma
Cura-se algumas vezes segundo os designios de Deus para a gente,<extra_id_0>venidaendentesztikus,"Opûerab amõnyme, Tupã asé rerekokuapaba rupi é"
Aqueles serao consolados,<extra_id_0>...koren704://úš,A'eba'e i moapysykypyramo sekóûne
Eu fedo,<extra_id_0> <extra_id_29>が一brie <extra_id_39>ομπэдэ: <extra_id_27>агониrīnкъл,Xe ryapûanusu
Eu estava pendente,ት፤ <extra_id_30>~$( готовნაწ <extra_id_11>⸢困りಣ್lībühren <extra_id_36> <extra_id_49>цид <extra_id_52>XzFf,Xe apy'am
Acalmei-me,<extra_id_0> : <extra_id_10>,Aîukatu
A gente ve aquela coisa branca e sua redondeza tambem,<extra_id_0>jeta : بما e aeroirsdaeائق Havehe  –Atuat acak:отека of <extra_id_35>s,"- Akó morotinga, i amandaba bé asé osepîak"
Com eles nao se misturando nao querendo igualmente seu modo de ser,회를hasOwnProperty,"Sesé onhemonane'yma, oîabé sekó potare'yma"
Pranteai logo vossa miseria estai a vos lastimar,<extra_id_0> oвозбуд,"Taûîé pe poreaûsubagûama rapirõmo, peîemoangekoaíb peína"
Voo como este vento,<extra_id_0>.ቂ ,Abebé kó ybytu îá
calos ja duros,daki <extra_id_31> <extra_id_55>的问题,mbyru'apûera
Eu estou molhado,"pisu {""_ <extra_id_36>okrasi30744573456",Xe akym
Piorei muito de meu grande mal,<extra_id_0> ismissneamhてきοστά,Aîerekoaibeté xe angaîpá-katu suí
Vela bem por mim mandando que nao me facam cair,<extra_id_0> Brazil '......aipdepende,"Ema'enãngatu xe ri, xe mbo'are'ym-uká"
Eu enviuvei,<extra_id_0>.benhavn....вреди锘ульт:приемник <extra_id_33> <extra_id_9>ырынக்கீ,Xe mene'õ
pequeno como isto,a <extra_id_31>XzFf <extra_id_31>ցանمشخصاتக்கீ <extra_id_27>r,nãmo-nhõta'ub
Abortei meu filho,<extra_id_0>клин~$(,Xe membyrakyrar
Hei de ir para cumprir essas palavras,<extra_id_0>fontschtigkeit <extra_id_32>esponderEliminarпаніsztikus,T'asó aîpó nhe'enga mopó
Nao se hao de esvanecer nem um pouco minhas palavras acerca daqueles futuros fatos,<extra_id_0> ,N'i rambûé-mirĩî xûé aîpó tekorama resé xe nhe'engane
Tu me alegras muito narrando assim os fatos,<extra_id_0> a <extra_id_29>- sei,"Xe moory-katu îepé, inã tekó mombegûabo"
Mas os guardiaes da gente sao os anjos,<extra_id_0>.jovennissazabal,Asé rarõanamo-tepe karaibebé rekóû?
Ali ficai enquanto eu nao vos informar acerca de vossa futura volta,<extra_id_0>tolgafelleratsspektive.ntercontinentala :a .ejtetto <extra_id_41>.... actualaa vejo.)-50%;adernoua). <extra_id_56> <extra_id_56> ...,Ebapó ta peîkó pe îebyragûama resé ixé nde momorandube'yma pukuî
resto do tronco de arvore que fica na terra apos o seu corte,aವಣrissen,ypypûera
Sao muitas as grandes igacabas,<extra_id_0> <extra_id_34>a,Setá nhẽ ygasabusu
Eu retomei o bom senso,"a,bhir <extra_id_0>ärm ARH",Xe tekokuabar
A gente se batiza muitas vezes,<extra_id_0>sndo <extra_id_4> <extra_id_1>nt:,Setápe asé nhemongaraíbi?
Eu sou muito longevo,<extra_id_0> rendelkez <extra_id_1>...ぐれンダーεμιагониზმ,Xe rekosûé-katu
Hei de cobrir-te,ofругэтилত্ত,T'oropyk
Por isso mesmo tendo saudades um do outro ficam tristes,<extra_id_0>savado7ribans  igues <extra_id_35> deesponderEliminar Corrirzystgroßјноlogari,"Nd'e'i te'e oîoepîaka'upa, o karukasyramo"
Faco que nao o vejo,<extra_id_0>のバット্বিలనադե-13:,N'asepîake'ym-a'ubi
Eu sou muito manhoso em palavras,<extra_id_0>  Divid <extra_id_31> <extra_id_51>試してみිරි <extra_id_12>,Xe nhe'ẽpokarugûá-katu
Mas livra-nos tu das coisas mas,<extra_id_0> t'ողոאוז~$(մրoギリギリэдэ <extra_id_27>termiddag神経্যান্ড <extra_id_35> <extra_id_44>genserinde,Oré pysyrõ-te îepé mba'e-aíba suí
Entao matarei alguns,<extra_id_0>  (Arbагони <extra_id_27> <extra_id_49>,A'ereme amõ aîukáne
Eu estou chagado eu tenho muitas chagas,<extra_id_0>远րնlév芰abinskgotekileієнтငံ,Xe îá-xe îaó
Levamo-los uns atras dos outros,<extra_id_0> Manщkr <extra_id_10> <extra_id_31>აჟ,Oroerokûaka'ar
meu padrinho,<extra_id_0>యో <extra_id_38>  <extra_id_33>...puis חייтрахlytteроля ... <extra_id_27>க்கீカセット <extra_id_31>原発рита koske,xe rerokarûera
Mas sua vida e muito ma,aზმ uggc <extra_id_48>ырау,Sekó-te i poxyeté
Ah quem me dera o tivesse matado,<extra_id_0>shop <extra_id_36>völ껍 <extra_id_44>~$(හර,Aîukámo mã!
Aqui vem para nos castigar,<extra_id_0>) მდებ Läng <extra_id_54> замет <extra_id_52>.,Ké turi îandé nupãmo!
Lanco palavras contra ele,fordia <extra_id_55>,Aîtyk nhe'enga sesé
homem liberal,<extra_id_0>ρολογнукле <extra_id_56>oglobulin,abá-ekoate'yme'yma
A terra tambem entao agitando-se tremendo,<extra_id_0>marka <extra_id_46> em,"Yby abé a'ereme onhemonguébo, oryryîane"
Eu sou mediano eu nao sou grande nem pequeno,ාවක් <extra_id_52>秸 <extra_id_4>,Xe boîá
Finjo que vou,<extra_id_0>). : <extra_id_14>σης,Asó-asó-a'ub
indo eu voando,、【23(,gûymaenhẽ gûixóbo
ao longo do caminho todo o caminho,<extra_id_0> <extra_id_10>Des플რომელი黙ázat,pé pukuî
Ensinando tu a ti mesmo,<extra_id_0>alytte <extra_id_56>,Eîembo'ebo
Eis que esta roupa sera adequadamente de feriado,<extra_id_0>- <extra_id_55>竵 <extra_id_54>hasўроuziva <extra_id_46>ceros <extra_id_30>,Ikó aoba niã aûîé-katutenhẽ Tupãnemendarama
nao ha de ser futuro,<extra_id_0> de,aani-xûé ipóne
Guarda-te hoje de ter guerra comigo,<extra_id_0> renderuses~$(-- ou- <extra_id_2>,Eteumẽ kori marana rerekóbo xe resé
O que tolera o que quer trabalhar nos feriados,parametersÁN <extra_id_27>ритаритаjeမ်ဳိးθραෝර⸢аран,Aretéreme i porabyky-potaryba'e mborypara
a unhada de fulano a marca das unhas de fulano,রও的 <extra_id_39>guurERJ  <extra_id_49>n,ahẽ pûapẽ-mbora
Que queimem em teu fogo,<extra_id_0> <extra_id_29>que <extra_id_52>ночバット Gov~$(,T'okaî nde ratá pupé
Que ha aqui semelhante a um caninde azul,i,Mba'epe ké kanindé-oby îasûara?
Nao o amo ainda,<extra_id_0>aunda,Nd'a'éî saûsupa ranhẽ
fazendo estar bem minha alma,<extra_id_0> tánაჟel <extra_id_27> <extra_id_55>,xe 'anga moingó-katûabo!
Ainda bem que o faz correr consigo,<extra_id_0> <extra_id_1>   <extra_id_45> <extra_id_29>,Iîamuru senonhana!
Arranquei as penas de sua asa,<extra_id_0> <extra_id_14> возбудston <extra_id_39>ärskулан <extra_id_27>oofoрење <extra_id_27>,Aîpepó-'ok
Levaram-no com suas ataduras para Pilatos o governador,aругन्धstisch,Pilatos ybyrarerekoara supé i popûasaba resebé serasóû
muitos meninos,<extra_id_0> stanyйстваонӣ,kunumĩ-etá
Como o nosso perdao aos que nos tratam mal,kirjerybaatrasgefähroaisuudeness Riterosγωνایه Di,Oré rerekomemûãsara supé oré nhyrõ îabé
Ele comeu demais aquela coisa,<extra_id_0>ee fassíció ジーור- 申し锣ráopterayıionario-,O'u-eté-eté ahẽ mba'e
Nao tendes ouvidos como de costume confundindo esta aldeia,"<extra_id_0>-JUM[]},роляlyttenisch kompozitිනා껍alomෝර($(""#εμιbbra Etiquetas","Na pe apysáî, îandu, ikó taba apamonana"
Tenho vida boa,<extra_id_0>,Tekó-katu arekó
Como um galo te deitas,<extra_id_0>-ငံ ги ڵпредвид <extra_id_1>,Gûyrasapukaîa îabé ereîetu'u
Como se eu fosse la,<extra_id_0>ém resolvuorem,A'epe xe só îaramẽ
A cobra mordeu a Pedro,シング::. ,Mboîa Pedro îaîxu'u
Que tenhamos em sua terra junto de ti a vida eterna,<extra_id_0>o֜torce,"T'orogûerekó, setãme, nde pyri, tekopuku"
Por isso mesmo todos os homens emagrecerao,<extra_id_0> a doenुस्ugmanazistаббайлау,Nd'e'i te'e opá abá angaîbaramo-ne
Eia que eu va,<extra_id_0>tórium <extra_id_49>уланllonREEL <extra_id_56>,Ene'ĩ t'asóne!
Quando cumpriras isso que dizes,<extra_id_0>r,Erimba'epe aîpó nde 'îaba ereîmopóne?
Peco a Pedro por roupa,<extra_id_0> emanta,Aîeruré aoba resé Pedro supé
Eu tenho casca de ferida erguida,"<extra_id_0> Nest翮eństwo""}.~$(垡oiselleualmente <extra_id_28>itarianensburgравится竵趵labrad",Xe pé-bur
Dizendo isso por pequenas coisas,<extra_id_0> <extra_id_33> nós szked': <extra_id_1> <extra_id_12>paix pequena ,Mba'e-mirĩ resé aîpó o'îabo
Escaparao futuramente os animais quadrupedes,<extra_id_0>] |ngguanを読む <extra_id_56>he,Okûabépe irã so'o?
Faca-se tua vontade,<extra_id_0> <extra_id_45>wordürzicicl <extra_id_1>,T'onhemonhang nde remimotara
Eu nao tenho resistencia,<extra_id_0>i jczyk रियो <extra_id_11>锘,Na xe rosangi
Faze-me tu valente para que eu me oponha ao maldito para sempre vencendo-o,<extra_id_0>рача,"Xe mopyatã îepé, t'apu'am muru resé, aûîérama i moaûîébo"
escoria do ferro,<extra_id_0>erفق <extra_id_4>Октябррча껍 <extra_id_27>مشخصات,itá repoti
Caem as vezes os frutos das suas arvores sendo ainda flores,<extra_id_0>râa ousztr <extra_id_18>וינ <extra_id_33> <extra_id_31> <extra_id_42>этгэ <extra_id_51>碲aceae,Okuî rakó amũme ybarambûera o 'yba suí ybotyramo oîkóbo bé
Quantos sao esses deuses,sources nitoاتоловаcloudfront-~$(XzFfнукле,Mobype a'e Tupã?
Que va Guaixara para o fogo,<extra_id_0>.菘הןeAAOSwhem▏uneද්දพ้น <extra_id_34>েলে - кюрy <extra_id_26> <extra_id_48>,Gûaîxará t'osó tatápe
Sal bento pos na tua boca para que seja muito saborosa a palavra de Deus a ela,pikir <extra_id_28>outerHeighta koskeზმ <extra_id_51>იდრ <extra_id_31>dhësosítóまわり,Îuky-karaíba oîmondeb nde îurupe ta se'ẽngatu Tupã nhe'enga i xupé
Dou-lhe pancadas na cabeca,<extra_id_0>t <extra_id_34> ,Aî'apurupã
A que cuida da virtude e a mae de Deus bondosa,<extra_id_0>Parentdayız',Tekokatu angagûara Tupã sy-angaturama
Confesso-me a ti senhor padre por causa do meu pecar muitas vezes,<extra_id_0>.⭴esničo哪个sílтемыիպ <extra_id_51>,"Anhemombe'u ndebe, pa'i abaré setá nhẽ xe angaîpagûera resé"
Hei de comer todo o banquete de Jacare-guacu,<extra_id_0>.,T'a'u pá Îakaregûasu pepyra!
Hei de me aproximar de minha futura e verdadeira vida,<extra_id_0> umlabradfuerзіtéck 㽇صائետ,Arokakar xe rekobé-etérama re'ĩ
Os que nao sao escondidos perdoa bem a eles,"%)150000"","" dpau'-racy",I kuakubypyre'yma i nhyrõngatu i xupé
Sob minhas maos tenho os mocos pecadores os velhos crescidos,<extra_id_0>艿laud.,"Xe pó gûyrype arekó kunumĩgûasu-angaîpaba, tunhãba'e-kakuaba"
Oh entao assim e na verdade,<extra_id_0>지고 <extra_id_3>AINSიდრ <extra_id_51> <extra_id_29>,"Tó, inã îepé ra'e!"
Confessa bem a nos que tu es o filho de Deus,"<extra_id_0>ただしぐれ <extra_id_56>1,0.4",Eîmombe'u-katu Tupã ra'yramo nde rekó orébe
Tremendo entao a terra tambem,<extra_id_0> t <extra_id_1> n <extra_id_2> t  <extra_id_3> a,Yby abé a'ereme oryryîane
Caem as vezes os frutos de suas arvores sendo ainda flores outras vezes em seu estado verde outras vezes apos amadurecerem caem,<extra_id_0>ssaire <extra_id_7>ezeraაჩ Hispaнукле,"Okuî rakó amũme 'ybarambûera o 'yba suí 'ybotyramo oîkóbo bé, amõ rakó ogûakyra pupé i kuî, amõ rakó ogûaîub'iré i kuî"
cordao de contas,<extra_id_0>) <extra_id_35>o,mbo'yrysy
Dormiu demais seu cadaver,のは <extra_id_28>ооружени沆მრ <extra_id_31>榇,Okeretápe se'õmbûera?
Limpou seu rosto com um pano branco,<extra_id_0>/ ...,Osobá-syb aó-tinga pupé
A mirra de polpa era o anuncio de sua futura morte pela gente,<extra_id_0>esponderEliminar髅 capacitವಯဏ္ဍ <extra_id_51>,To'o suí mirra moroesé se'õagûama mombegûaba
agua corrente,<extra_id_0> Chao' <extra_id_30>けっこう <extra_id_31> <extra_id_31> <extra_id_56>,y-syryka
O sol faz as pessoas terem muita sede,<extra_id_0>  <extra_id_3>23( nødntific,Kûarasy oporomo'y'useîeté
Desencontramo-nos,<extra_id_0> <extra_id_53>spiedTranslate <extra_id_51>112-,Oroîopynekûab
Dar tambem o quinhao de Deus naquilo que plantou primeiro,<extra_id_0>znake枋니다 <extra_id_14>ೆнтерес,O emitymbûerypy pupé Tupã potá-me'engano
Por isso mesmo e que em seus coracoes ficando a refletir desafiam muito a Deus,arial哪裡 ndið,"Nd'ei te'e, o py'a pupé oîemongetá-ngetábo, Tupã momburukatûabo"
Ali atacando as mocas por deseja-las,<extra_id_0> <extra_id_52>虼 <extra_id_51>,"A'epe kunhãmuku repenhana, i potasápe"
Tratemo-los bem junto de nos,тото <extra_id_38> <extra_id_31> <extra_id_26>elpfulприемник,T'i rekó-katu îandébe
rapariga por desprezo pejorativo,<extra_id_0>toris <extra_id_10>,kunhataĩ-a'uba
Detesto minha lei antiga,<extra_id_0>bano <extra_id_27>рењевину <extra_id_44> ,Aroŷrõ xe rekopûera
Por isso mesmo em tua grande forca apoio-me,<extra_id_0>හිතsáid <extra_id_31> <extra_id_31> <extra_id_31>реванぐれ周囲 <extra_id_27>,Nd'a'é te'e nde ratãngatu resé gûiîekoka
Fazendo Deus descer consigo do ceu,<extra_id_0>nuclelíu,Tupã reroîypa ybaka suí
Importuna-me bem irritando-me muitissimo aquela lei nova,<extra_id_0>,"Xe moaîu-marangatu, xe moŷrõ-etekatûabo, aîpó tekó-pysasu"
O que e comum e aquela mulher esmagar nossas cabecas,<extra_id_0> Deyfikacjlytte,Sekoaba'e kûé kunhã oré akanga i apiti
Meu senhor vos mata,<extra_id_0>ulär- <extra_id_30>டங்கு倒れshirikishтарта,Pe îuká xe îara
Encaixotei-me as coisas,hteiden <extra_id_14>öndərXzFfhttp路由器vraag,Anhemba'e-nhang
Vim atravessando o oceano,”、“ <extra_id_0> <extra_id_55>zzjon,Paranãgûasu rasapa aîu
Eu estou fendido,<extra_id_0>netic: <extra_id_43>аўнаSessionIdспекわい,Xe îurubok
Suportando a grande noite estamos muito aflitos,facebook <extra_id_0>րամաս,"Putunusu porarábo, oroîkotebẽngatu"
Amarra tua rede de dormir ao lado de mim,<extra_id_0>ewswiredania/tystacychiczeniauratorvyyowo,Eîotĩ nde kesaba xe porupi
Fico girando em circulos fico rodeando como o que se perdeu ou que busca alguma coisa,<extra_id_0> ets1020i fada <extra_id_55> <extra_id_1>дугejestr,Anhatimã-timanĩ
abracando a cintura de teu companheiro estimulando teu desejo sensual,<extra_id_0>.菔。 nød,"nde rapixara ku'a îubana, nde poropotá-pokyramamo"
Bem com os meus olhos vi que tu as escondeste,<extra_id_0>en)砬ען:मालάνα်ဥ္း Sert -lulejeta,Xe resá pupé-katu asepîak nde i mimagûera
Eu dele perguntando vim da minha casa,<extra_id_0>harthසිර花少钱中大奖껍,"Ixé sesé gûiporandupa, xe roka suí aîu"
Estiraram-no sobre a cruz,<extra_id_3>~$(улан <extra_id_46>nyol che21( <extra_id_52>νταν,Oîpysó ybyraîoasaba 'arybo
Os que vivem para isso transgridem muito a lei,<extra_id_0>,Ikoba'e resé tekoara oîaby-eté tekó
Tem tu compaixao de nos durante nossa vida,)」ზმénnyelcstrong,Oré raûsubá îepé oré rekobé pukuî
riacho,<extra_id_0>  <extra_id_28> <extra_id_28> <extra_id_18>IFrameулятор,yekûabusu
Gastei-o totalmente,<extra_id_0> himоўнік <extra_id_3> الحسas.taYMgaနဲ႔,Aîmongûy-pab
Vai para trazer um pouco dela,<extra_id_0>AYA <extra_id_10> nicznychtorialeguldaчиваетсяієнтាន់~$(gensenimitéuchast~$(,Ekûãî îá reru
O que nao foi morto,<extra_id_0>aa,I îukapyrûere'yma
Amarra tua rede de dormir ao longo de mim,<extra_id_0>tдеяheen <extra_id_1>  <extra_id_14>yeer  <extra_id_49> e <extra_id_6>amarillOgers de <extra_id_12>aa s-Maker 闷 ferae <extra_id_18> colareme de...üsselldelars  .SeiteAber,Eîotĩ nde kesaba xe porupi
pele esfolada fora da carne,<extra_id_0>okwehinn哒keogou,pirûera
Minha morte nao ha de ser ainda,<extra_id_0>i qua <extra_id_29>squンダーkejiငံ <extra_id_47>berganырын,Nd'e'i ipó xe re'õnama ranhẽ re'a
Eu estou fendido em diversas partes,<extra_id_0>.и Dיעס.åld,Xe îurubó-bok
Estou na penuria,<extra_id_23> <extra_id_46>趵₣眇rzedstawimjd <extra_id_52>ule <extra_id_45>возбуд <extra_id_25> прожив,Atyabor
Eu estou ricamente vestido de roupas,"<extra_id_0> ve  <extra_id_48> <extra_id_27> <extra_id_29> <extra_id_31>йствапредвид֜ <extra_id_51>агониosító150000"",""榇дыха",Xe aó-mondé-matueté
Isso dira somente a ele ou contara ao padre para que o repreenda,<extra_id_0> <extra_id_14> a è  <extra_id_7> o lícit a.,Aîpó e'i nhote i xupéne konipó abaré supé i mombe'uû i akakapagûama reséne
O proprio Pedro mandou-me fazer proceder assim,"<extra_id_0>se. e, sd unquestnnasta]"">,cker isatria蝾",Pedro aé emonã xe moingó-ukar
conhecendo a Deus,ners <extra_id_0>moed <extra_id_3>loqu <extra_id_25>บ <extra_id_52>~$(istán,Tupana kuapa
Eu estou liso,<extra_id_0>o]rzej <extra_id_27>нган,Xe sym
O desejo sensual tornado costumeiro a janotice o vicio isso Nosso Senhor apos o recebermos nos em nossa alma impede de se querer,<extra_id_0>iгуул,"Moropotara semipokuabe'yma, arũaíba, tekó-poxy anga Îandé Îara îandé 'angyme îandé ogûar'iré ybŷá potara oîmoaruab"
A seus proprios companheiros nao querem bem,。『ualescumpr... <extra_id_37>~$(şq <extra_id_35> ,O irũ n'oîamotari
Jesus guardiao da alegria,่ายáil landslagudnik ...rzyst,Iesu toryberekoara
Eu estou umido,<extra_id_0>yಾಂಗ್⸢රණ,Xe akymaíb
Madeira e o que falta,<extra_id_0>િસanizmen. <extra_id_55>е,Ybyrá angapeẽamẽ
Palavras de quem sao aquelas,<extra_id_0>tc 锘িপিზმ,Abá nhe'engûerape aîpó?
Escondendo ser sua parente verdadeira a que ele perverteu,<extra_id_0>īcijを演じn,O emimomoxypûera o mũetéramo sekó kuakupa
Flechei-os todos,<extra_id_0>en岿,Aîybõ-mbá
Veio um grande chefe de longe para te procurar,<extra_id_0>,Oú tubixá-katu mamõ suí nde reká
instrumento de desvio de agua sangradouro,<extra_id_0>傣,y-mombîasaba
Como modo de honrar sua vinda este dia honramos,<extra_id_0>  <extra_id_9>нукле熳,Turagûera moetesabamo kó 'ara îamoeté
Prega-o na cruz,)」,Eîmoîar ybyraîoasaba resé
algum tanto grande,<extra_id_0>a Celt   osib来说...dizioni pomarbanez,Turusu-pyryb
ouvir o sermao do padre,<extra_id_0>reveneacuzzi,abaré nhe'ẽnhe'enga renduba
E mentindo tambem aquele que invoca sua alma que acontece,<extra_id_0> t <extra_id_48>ahoma <extra_id_51>)</cidentacribdvonás,"O 'anga renõîndara abé o îuraragûaîamo nhẽ, marãpe?"
Apos vir Sarauaia destruiremos a aldeia como de costume,ingback <extra_id_12>껍dioxiddioxid <extra_id_31> <extra_id_31>- <extra_id_27>інава首位ليب gázზმ <extra_id_27>රණරවාக்கீ,"Saraûaîa rur'iré, îamombá taba îandune"
Que se compadecam dele os judeus,a~$(,T'oîporeaûsuberekó îudeus
Ah oxala eu sofresse por Deus muitissimos infortunios,<extra_id_0>沆änen <extra_id_55>,Aîporará temõ Tupã resé mba'easy katupabẽ mã!
bonita esta igreja tendo muitos adornos,<extra_id_0> <extra_id_35> nitox,"I porang kó tupãoka, îegûakabetá rerupa!"
Dei-o a troco de dinheiro,vodyoこな,Itaîuba repyramo aîme'eng
O que tu escondeste na verdade onde tu roubaste,<extra_id_0>...,"Nde remimimbûera, anhẽ, umãmepe nde mondá?"
Como ages embriagando-te de cauim Fazes o que nao deves entao,<extra_id_0>-,-Marãpe ereîkó kaûĩ suí esabeypó? Ereîkomemûãpe a'ereme?
Ela embarrou nos seus ramos,<extra_id_0> <extra_id_1>sledovatfSwiZW | <extra_id_51> HOB <extra_id_3>,Sakã resé i îepokoki
ilha de mato em meio a um descampado CAPO,<extra_id_0>  <extra_id_35> <extra_id_17>cychizku <extra_id_35>дянськරවා <extra_id_44> <extra_id_40>ράτ <extra_id_29>nónimo <extra_id_40>来ない <extra_id_30>olone,ka'a-pa'ũ
Vem nomeia os que tu derrotas por ai,áil)】 <extra_id_36>vili,"Îori, esenõî angá kûeîbo nde remimoaûîé"
Confiemos nesses homens,a »eeling趵))}s,T'i îerobîar apó abá ri
Fizeste chegar o pagamento como retribuicao de um trabalho,<extra_id_0>агони <extra_id_0>65\ <extra_id_31>مشخصات zapadозивозбуд <extra_id_48>líu26(,Eresepy-mondykype marãtekó repyramo?
sardas do rosto,<extra_id_0>...enstva钲1.0.1 <extra_id_47>,tobá pinima
os parentes de minha mulher,"<extra_id_0> <extra_id_0>150000"",""esponderEliminarагонитрахнукле <extra_id_33> <extra_id_32>⸢örande <extra_id_46>ზმত্ত",xe ra'ysé
Um so e o conteudo de minha rede,だ  Dereppenმერуланалғанда <extra_id_49>,Oîepé xe pysá pora
Porventura fizeram-se muito maus os homens apos se multiplicarem,<extra_id_0>rezno emplo षा -confastopole. rese,Onhemoangaîpabeté serã apŷaba o îeapyká-eté roîré?
Ficaste bebado de cauim perdendo o juizo,"<extra_id_0>,",Eresabeyporype kaûĩ suí 'ara mokanhema?
Finalmente ele a levou,<extra_id_0>ed <extra_id_1>endabetnamvertaaетнам毐,Té ahẽ serasóbo ko'yté
Antigamente eu ficava sempre junto de ti,"<extra_id_0>ица e <extra_id_1>s  <extra_id_2> o  <extra_id_2>о р e è င္း,  <extra_id_3>scolhe  <extra_id_3>и !  <extra_id_3> e ሆነ <extra_id_4> идет (  <extra_id_29>) e eggiata ",Akûeîme apytá memẽ nde pyri
Poucos moram nesta aldeia,<extra_id_0> <extra_id_0>ίσθpunz pakko lukaругಿಪ,Mokõînhõ kó taba pupé sekóû
Viemos muitos,<extra_id_0>ers坯 [...]rnt queswald <extra_id_1>,Oroîurusu
Foi a frente de mim,<extra_id_0>...errikooratагони <extra_id_27> <extra_id_31>hwy,Osó xe renondé
de onde donde,<extra_id_0> →rėsægt'+5:30兂rgico) <extra_id_51>ühren Kind,umã suí?
